D1,D2,D3,D4,D5,D6,D7,D8
0.506811527430377,0.294132696571721,0.240927830011895,0.323028724431249,0.413299247744317,0.474776049033475,0.213389449570725,0.102291337991135
0.492888505661085,0.224884871226335,0.234646156854438,0.366021262514951,0.440390402457428,0.343941537010844,0.21154327433721,0.10227631282398
0.506197275697279,0.312297458638922,0.228388926004986,0.359007425487089,0.431724855818724,0.393682225365394,0.23430046206338,0.0681766959657426
0.503434206890261,0.311615214054238,0.240919682575893,0.387679945113325,0.449694416061048,0.327204148986327,0.225696501299517,0.125024415896627
0.499236290240744,0.260532150776053,0.23465430429044,0.344557476184405,0.450241673459547,0.507779349363508,0.221379920553253,0.0681691833821651
0.37955825962657,0.224884871226335,0.231517541429712,0.272762487629248,0.513910415622221,0.360914662894861,0.20600844068282,0.0795582600856435
0.501283918617631,0.260191028483711,0.244048298000619,0.39485619569771,0.394600010970661,0.293965110796794,0.232453279908187,0.136360904515063
0.480809368761526,0.432969469554835,0.240911535139891,0.32296375900864,0.459272058363917,0.328618576143329,0.215849450226134,0.113635339193149
0.507835472975849,0.293450451987037,0.240911535139891,0.373197513099336,0.486363213077028,0.343941537010844,0.238602274625032,0.113650364360303
0.50640327854531,0.415145829779976,0.24090338770389,0.373359926655859,0.504880030717851,0.294908062234795,0.198626089232677,0.124986852978739
0.49596063128296,0.207402353743817,0.244064592872623,0.394888678409015,0.468120024135455,0.376709099481377,0.230609118518029,0.159093982420554
0.500363289753041,0.380180794814941,0.23465430429044,0.344622441607014,0.47778887600474,0.376709099481377,0.234297105657786,0.124994365562317
0.509370721373214,0.259508783899028,0.234646156854438,0.301467489966789,0.449147158662549,0.328382838283828,0.230606433393554,0.136360904515063
0.515615241814802,0.346921371311615,0.231517541429712,0.373327443944555,0.449876835193881,0.524280999528524,0.223845962738731,0.102283825407558
0.495039424447448,0.329438853829098,0.244048298000619,0.315787508424255,0.422147213515854,0.327675624705328,0.218923276303438,0.0681766959657426
0.51141853364994,0.295156063448746,0.231517541429712,0.315787508424255,0.440207983324595,0.245403111739745,0.237988784843697,0.113635339193149
0.511316819524797,0.276650179089203,0.231525688865714,0.366053745226256,0.376265612462671,0.425271098538425,0.223228109630124,0.102283825407558
0.4958583654583,0.380521917107283,0.231525688865714,0.344557476184405,0.495667226680648,0.442244224422442,0.231226635986076,0.159093982420554
0.505787056456795,0.362357155040082,0.231525688865714,0.373262478521946,0.468302443268287,0.277463460631777,0.221382270037169,0.0908947487040793
0.499339317936165,0.346921371311615,0.237782919715166,0.387809875958544,0.486545632209861,0.343941537010844,0.24843590007604,0.113627826609571
0.503229937954997,0.398345556882142,0.240911535139891,0.394791230275101,0.375900774197005,0.311409712399811,0.215232939679765,0.102283825407558
